"Monthly Climate Statistics for 'SYDNEY (OBSERVATORY HILL)' [066062]"
"Created on [ 25 May 2016 14:48:53 GMT+00:00]"

"066062 SYDNEY (OBSERVATORY HILL)"
"Commenced: 1858"
"Last Record: 2016"
"Latitude:   33.86 Degrees South"
"Longitude:  151.21 Degrees East"
"Elevation:      39 m"
"State: NSW"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Date of Highest minimum temperature for years 1859 to 2016 ",08 Jan  1994,06 Feb  2011,26 Mar  1876,05 Apr  1986,03 May  1942,18 Jun  1873,02 Jul  1942,30 Aug  1885,24 Sep  2003,03 Oct  1981,14 Nov  1967,25 Dec  1868,06 Feb  2011,N/A,1859,2016
"Decile 1 minimum temperature (Degrees C) for years 1859 to 2015 ",16.1,16.1,14.7,11.4,8.5,6.4,5.5,6.2,7.9,10.2,12.4,14.6, ,158,1859,2015
"Decile 9 minimum temperature (Degrees C) for years 1859 to 2015 ",21.3,21.3,20.4,17.8,14.7,12.4,11.0,12.1,14.6,16.9,18.7,20.3, ,158,1859,2015
"Mean number of days <= 2 Degrees C for years 1859 to 2016 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157,1859,2016
"Mean number of days <= 0 Degrees C for years 1859 to 2016 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157,1859,2016
"Mean daily ground minimum temperature Degrees C for years 1955 to 1990 ",16.7,17.0,15.5,12.5,9.1,6.7,5.2,6.0,7.9,10.7,13.0,15.2,11.3,36,1955,1990
"Lowest ground temperature Degrees C for years 1955 to 1990 ",8.9,9.7,6.7,3.3,0.8,-0.5,-3.9,-1.0,-0.4,2.3,1.9,7.8,-3.9,36,1955,1990
"Date of Lowest ground temperature  for years 1955 to 1990 ",02 Jan  1972,21 Feb  1966,09 Mar  1987,27 Apr  1970,27 May  1968,05 Jun  1973,26 Jul  1968,02 Aug  1986,12 Sep  1970,16 Oct  1970,21 Nov  1967,26 Dec  1968,26 Jul  1968,N/A,1955,1990
"Mean number of days ground min. temp. <= -1 Degrees C for years 1955 to 1990 ",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,36,1955,1990
"Mean rainfall (mm) for years 1858 to 2016 ",102.5,117.0,129.6,128.8,119.9,131.9,97.0,80.6,68.4,76.7,84.1,77.7,1214.6,157,1858,2016
"Highest rainfall (mm) for years 1858 to 2016 ",387.1,630.6,521.4,622.1,585.0,642.7,336.1,482.6,355.8,285.0,517.2,401.9,2194.0,158,1858,2016
"Date of Highest rainfall for years 1858 to 2016 ",1911,1990,1942,1861,1919,1950,1950,1998,1879,1987,1961,1920,1950,N/A,1858,2016
"Lowest rainfall (mm) for years 1858 to 2016 ",5.6,3.0,8.4,1.4,3.0,4.1,1.8,0.0,2.1,0.6,1.9,2.8,583.0,158,1858,2016
"Date of Lowest rainfall for years 1858 to 2016 ",1985,1939,1965,1868,2008,1962,1970,1995,1882,1988,1915,1979,1888,N/A,1858,2016
"Decile 1 monthly rainfall (mm) for years 1858 to 2016 ",25.6,19.7,31.4,24.7,19.0,24.7,11.1,9.5,14.1,18.0,16.0,21.6,822.4,158,1858,2016
"Decile 5 (median) monthly rainfall (mm) for years 1858 to 2016 ",79.9,92.3,99.1,98.8,90.9,100.8,73.2,54.7,51.9,55.5,66.9,59.7,1164.0,158,1858,2016
"Decile 9 monthly rainfall (mm) for years 1858 to 2016 ",194.5,254.5,277.0,274.3,266.8,294.6,221.6,187.5,151.0,175.6,157.7,164.3,1649.5,158,1858,2016
"Highest daily rainfall (mm) for years 1858 to 2016 ",191.0,243.6,280.7,191.0,212.3,150.6,198.1,327.6,144.5,161.8,234.6,126.0,327.6,158,1858,2016
"Date of Highest daily rainfall for years 1858 to 2016 ",17 Jan  1988,03 Feb  1990,28 Mar  1942,29 Apr  1860,28 May  1889,11 Jun  1991,07 Jul  1931,06 Aug  1986,10 Sep  1879,13 Oct  1902,09 Nov  1984,09 Dec  1970,06 Aug  1986,N/A,1858,2016
"Mean number of days of rain for years 1800 to 3000 ",12.2,12.5,13.6,12.9,13.1,12.5,11.2,10.4,10.6,11.6,11.7,11.5,143.8,158,1858,2016
"Mean number of days of rain >= 1 mm for years 1858 to 2016 ",8.6,9.0,9.8,9.0,8.7,8.7,7.5,7.2,7.2,7.9,8.4,8.0,100.0,158,1858,2016
"Mean number of days of rain >= 10 mm for years 1858 to 2016 ",2.7,2.9,3.4,3.4,3.2,3.6,2.7,2.1,1.9,2.0,2.4,2.3,32.6,158,1858,2016
"Mean number of days of rain >= 25 mm for years 1858 to 2016 ",1.1,1.2,1.4,1.4,1.3,1.6,1.1,0.8,0.6,0.7,0.7,0.7,12.6,158,1858,2016
"Mean daily wind run (km) for years 1955 to 1992 ",316,296,272,274,284,304,323,331,323,322,332,326,309,37,1955,1992
"Maximum wind gust speed (km/h) for years 1955 to 1992 ",150,111,97,106,135,135,106,113,131,113,118,121,150,37,1955,1992
"Date of Maximum wind gust speed for years 1955 to 1992 ",19 Jan  1958,11 Feb  1978,02 Mar  1985,22 Apr  1972,04 May  1971,10 Jun  1956,20 Jul  1959,21 Aug  1981,30 Sep  1968,10 Oct  1957,10 Nov  1977,02 Dec  1957,19 Jan  1958,N/A,1955,1992
"Mean daily sunshine (hours) for years 1955 to 1992 ",7.1,6.7,6.4,6.4,5.9,5.5,6.4,7.1,7.2,7.2,7.8,7.6,6.8,37,1955,1992
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2016 ",23.0,20.1,17.2,13.6,10.3,8.5,9.6,13.1,16.9,19.9,21.4,23.1,16.4,26,1990,2016
"Mean number of clear days for years 1955 to 2010 ",6.8,5.3,7.1,9.1,9.5,9.1,12.0,13.4,10.9,8.1,6.0,6.6,103.9,56,1955,2010
"Mean number of cloudy days for years 1955 to 2010 ",13.4,13.0,12.8,10.7,10.8,10.9,8.7,7.7,8.5,11.4,12.5,12.8,133.2,56,1955,2010
"Mean daily evaporation (mm) for years 1955 to 1966 ",4.6,3.9,3.1,2.6,1.9,1.2,1.5,1.9,2.5,3.3,4.3,4.4,2.9,12,1955,1966
"Mean 9am temperature (Degrees C) for years 1955 to 2010 ",22.5,22.3,21.1,18.2,14.6,11.9,10.9,12.5,15.7,18.5,19.9,21.6,17.5,56,1955,2010
"Mean 9am wet bulb temperature (Degrees C) for years 1955 to 2010 ",19.0,19.3,18.1,15.3,12.1,9.7,8.5,9.5,11.9,14.3,16.0,17.7,14.3,56,1955,2010
"Mean 9am dew point temperature (Degrees C) for years 1955 to 2010 ",16.6,17.3,16.0,12.9,9.7,7.2,5.5,5.9,8.0,10.5,12.8,14.9,11.4,56,1955,2010
"Mean 9am relative humidity (%) for years 1955 to 2010 ",71,74,74,72,74,74,71,66,62,61,66,67,69,56,1955,2010
"Mean 9am cloud cover (okas) for years 1955 to 2010 ",4.9,5.2,4.7,4.1,4.0,4.0,3.5,3.3,3.8,4.4,4.8,4.9,4.3,56,1955,2010
"Mean 9am wind speed (km/h) for years 1955 to 1992 ",8.6,8.2,7.9,8.8,10.5,11.9,13.1,13.3,12.4,12.2,11.0,9.8,10.6,37,1955,1992
"Mean 3pm temperature (Degrees C) for years 1955 to 2010 ",24.8,24.9,24.0,22.0,19.4,16.9,16.4,17.5,19.2,20.7,22.1,23.8,21.0,56,1955,2010
"Mean 3pm wet bulb temperature (Degrees C) for years 1955 to 2010 ",19.8,20.2,19.1,17.0,14.5,12.4,11.4,11.9,13.5,15.3,16.9,18.5,15.9,56,1955,2010
"Mean 3pm dew point temperature (Degrees C) for years 1955 to 2010 ",16.6,17.2,15.8,13.1,10.1,7.8,5.7,5.9,7.9,10.5,12.8,14.8,11.5,56,1955,2010
"Mean 3pm relative humidity (%) for years 1955 to 2010 ",62,64,62,59,57,57,51,49,51,56,58,59,57,56,1955,2010
"Mean 3pm cloud cover (oktas) for years 1955 to 2010 ",4.6,4.8,4.5,4.2,4.3,4.4,3.8,3.7,3.9,4.4,4.7,4.6,4.3,56,1955,2010
"Mean 3pm wind speed (km/h) for years 1955 to 1991 ",17.9,16.8,15.2,13.8,12.7,13.6,15.3,17.6,18.3,19.1,19.4,19.5,16.6,37,1955,1991
